"","City","ID","year","seas","variable","value"
"78","NEW DELHI (SAFDARJUNG (A))","42182",1996,"DJF","Prec",0.338202247191011
"79","NEW DELHI (SAFDARJUNG (A))","42182",1997,"DJF","Prec",0.869662921348315
"80","NEW DELHI (SAFDARJUNG (A))","42182",1998,"DJF","Prec",0.288888888888889
"81","NEW DELHI (SAFDARJUNG (A))","42182",1999,"DJF","Prec",0.673033707865169
"82","NEW DELHI (SAFDARJUNG (A))","42182",2000,"DJF","Prec",0.717777777777778
"83","NEW DELHI (SAFDARJUNG (A))","42182",2001,"DJF","Prec",0.336781609195402
"84","NEW DELHI (SAFDARJUNG (A))","42182",2002,"DJF","Prec",0.610112359550562
"85","NEW DELHI (SAFDARJUNG (A))","42182",2003,"DJF","Prec",1.05111111111111
"86","NEW DELHI (SAFDARJUNG (A))","42182",2004,"DJF","Prec",0.176923076923077
"87","NEW DELHI (SAFDARJUNG (A))","42182",2005,"DJF","Prec",0.566666666666667
"88","NEW DELHI (SAFDARJUNG (A))","42182",2006,"DJF","Prec",0.0460674157303371
"89","NEW DELHI (SAFDARJUNG (A))","42182",2007,"DJF","Prec",0.866666666666667
"90","NEW DELHI (SAFDARJUNG (A))","42182",2008,"DJF","Prec",0.0538461538461538
"91","NEW DELHI (SAFDARJUNG (A))","42182",2009,"DJF","Prec",4.6438202247191
"92","NEW DELHI (SAFDARJUNG (A))","42182",2010,"DJF","Prec",0.452272727272727
"93","NEW DELHI (SAFDARJUNG (A))","42182",2011,"DJF","Prec",0.608888888888889
"94","NEW DELHI (SAFDARJUNG (A))","42182",2012,"DJF","Prec",0.195604395604396
"95","NEW DELHI (SAFDARJUNG (A))","42182",2013,"DJF","Prec",1.09213483146067
"96","NEW DELHI (SAFDARJUNG (A))","42182",2014,"DJF","Prec",0.81
"97","NEW DELHI (SAFDARJUNG (A))","42182",2015,"DJF","Prec",0.287777777777778
"98","NEW DELHI (SAFDARJUNG (A))","42182",2016,"DJF","Prec",0.0142857142857143
"99","NEW DELHI (SAFDARJUNG (A))","42182",2017,"DJF","Prec",NA
"100","NEW DELHI (SAFDARJUNG (A))","42182",2018,"DJF","Prec",NA
"101","LUCKNOW/AMAUSI(A)","42369",1969,"DJF","Prec",0.00337078651685393
"102","LUCKNOW/AMAUSI(A)","42369",1970,"DJF","Prec",0.655681818181818
"103","LUCKNOW/AMAUSI(A)","42369",1971,"DJF","Prec",0.291111111111111
"104","LUCKNOW/AMAUSI(A)","42369",1972,"DJF","Prec",0.28021978021978
"105","LUCKNOW/AMAUSI(A)","42369",1973,"DJF","Prec",0.369662921348315
"106","LUCKNOW/AMAUSI(A)","42369",1974,"DJF","Prec",0.32
"107","LUCKNOW/AMAUSI(A)","42369",1975,"DJF","Prec",2.49318181818182
"108","LUCKNOW/AMAUSI(A)","42369",1976,"DJF","Prec",0.0395604395604396
"109","LUCKNOW/AMAUSI(A)","42369",1977,"DJF","Prec",0.154444444444444
"110","LUCKNOW/AMAUSI(A)","42369",1978,"DJF","Prec",1.05505617977528
"111","LUCKNOW/AMAUSI(A)","42369",1979,"DJF","Prec",0.715555555555556
"112","LUCKNOW/AMAUSI(A)","42369",1980,"DJF","Prec",0.945054945054945
"113","LUCKNOW/AMAUSI(A)","42369",1981,"DJF","Prec",0.280898876404494
"114","LUCKNOW/AMAUSI(A)","42369",1982,"DJF","Prec",1.09444444444444
"115","LUCKNOW/AMAUSI(A)","42369",1983,"DJF","Prec",0
"116","LUCKNOW/AMAUSI(A)","42369",1984,"DJF","Prec",0.184883720930233
"117","LUCKNOW/AMAUSI(A)","42369",1985,"DJF","Prec",0.437078651685393
"118","LUCKNOW/AMAUSI(A)","42369",1986,"DJF","Prec",1.04022988505747
"119","LUCKNOW/AMAUSI(A)","42369",1987,"DJF","Prec",0.335555555555556
"120","LUCKNOW/AMAUSI(A)","42369",1988,"DJF","Prec",0.596703296703297
"121","LUCKNOW/AMAUSI(A)","42369",1989,"DJF","Prec",0.462921348314607
"122","LUCKNOW/AMAUSI(A)","42369",1990,"DJF","Prec",0.588372093023256
"123","LUCKNOW/AMAUSI(A)","42369",1991,"DJF","Prec",4.28988764044944
"124","LUCKNOW/AMAUSI(A)","42369",1992,"DJF","Prec",0.142045454545455
"125","LUCKNOW/AMAUSI(A)","42369",1993,"DJF","Prec",0.0611111111111111
"126","LUCKNOW/AMAUSI(A)","42369",1994,"DJF","Prec",0.595555555555556
"127","LUCKNOW/AMAUSI(A)","42369",1995,"DJF","Prec",0.394318181818182
"128","LUCKNOW/AMAUSI(A)","42369",1996,"DJF","Prec",1.54333333333333
"129","LUCKNOW/AMAUSI(A)","42369",1997,"DJF","Prec",1.20777777777778
"130","LUCKNOW/AMAUSI(A)","42369",1998,"DJF","Prec",0.412345679012346
"131","LUCKNOW/AMAUSI(A)","42369",1999,"DJF","Prec",0.344827586206897
"132","LUCKNOW/AMAUSI(A)","42369",2000,"DJF","Prec",0.0615384615384615
"133","LUCKNOW/AMAUSI(A)","42369",2001,"DJF","Prec",0.104545454545455
"134","LUCKNOW/AMAUSI(A)","42369",2002,"DJF","Prec",0.497727272727273
